ts,team,st,f,tag,margin,sid,name,pos,proj,actual,rem_fit,live_fit,live_v1,live_naive,stale,xmult,live_fitx,role,f_in,frozen
2026-09-20 19:03:14Z,DAL,pre,0.0,PRE,0,11533,Brandon Aubrey,K,9.3,0.0,9.3,9.3,9.3,9.3,0.0,1.0,9.3,,0.0,0
2026-09-20 19:03:14Z,DAL,pre,0.0,PRE,0,6786,CeeDee Lamb,WR,17.8,0.0,17.8,17.8,17.8,17.8,0.0,1.0,17.8,,0.0,0
2026-09-20 19:03:14Z,SF,pre,0.0,PRE,0,11616,Jacob Cowing,WR,0.7,0.0,0.7,0.7,0.7,0.7,0.0,1.0,0.7,,0.0,0
2026-09-20 19:03:14Z,SEA,pre,0.0,PRE,0,5854,Drew Lock,QB,16.6,0.0,16.6,16.6,16.6,16.6,0.0,1.0,16.6,,0.0,0
2026-09-20 19:03:14Z,DAL,pre,0.0,PRE,0,3294,Dak Prescott,QB,18.9,0.0,18.9,18.9,18.9,18.9,0.0,1.0,18.9,,0.0,0
2026-09-20 19:03:14Z,WAS,pre,0.0,PRE,0,13301,Antonio Williams,WR,6.3,0.0,6.3,6.3,6.3,6.3,0.0,1.0,6.3,,0.0,0
2026-09-20 19:03:14Z,WAS,pre,0.0,PRE,0,8136,Rachaad White,RB,8.4,0.0,8.4,8.4,8.4,8.4,0.0,1.0,8.4,,0.0,0
2026-09-20 19:03:14Z,MIA,pre,0.0,PRE,0,11610,Malik Washington,WR,7.9,0.0,7.9,7.9,7.9,7.9,0.0,1.0,7.9,,0.0,0
2026-09-20 19:03:14Z,SEA,pre,0.0,PRE,0,9488,Jaxon Smith-Njigba,WR,19.7,0.0,19.7,19.7,19.7,19.7,0.0,1.0,19.7,,0.0,0
2026-09-20 19:03:14Z,ARI,pre,0.0,PRE,0,10955,Chad Ryland,K,6.2,0.0,6.2,6.2,6.2,6.2,0.0,1.0,6.2,,0.0,0
2026-09-20 19:03:14Z,ARI,pre,0.0,PRE,0,10232,Michael Wilson,WR,10.5,0.0,10.5,10.5,10.5,10.5,0.0,1.0,10.5,,0.0,0
2026-09-20 19:03:14Z,DAL,pre,0.0,PRE,0,8110,Jake Ferguson,TE,9.1,0.0,9.1,9.1,9.1,9.1,0.0,1.0,9.1,,0.0,0
2026-09-20 19:03:14Z,SF,pre,0.0,PRE,0,7842,Luke Farrell,TE,0.6,0.0,0.6,0.6,0.6,0.6,0.0,1.0,0.6,,0.0,0
2026-09-20 19:03:14Z,ARI,pre,0.0,PRE,0,ARI,Arizona Cardinals D/ST,DST,6.3,0.0,6.3,6.3,6.3,6.3,0.0,1.0,6.3,,0.0,0
2026-09-20 19:03:14Z,SF,pre,0.0,PRE,0,3286,Demarcus Robinson,WR,5.9,0.0,5.9,5.9,5.9,5.9,0.0,1.0,5.9,,0.0,0
2026-09-20 19:03:14Z,SEA,pre,0.0,PRE,0,SEA,Seattle Seahawks D/ST,DST,7.8,0.0,7.8,7.8,7.8,7.8,0.0,1.0,7.8,,0.0,0
2026-09-20 19:03:14Z,WAS,pre,0.0,PRE,0,7587,Dyami Brown,WR,3.2,0.0,3.2,3.2,3.2,3.2,0.0,1.0,3.2,,0.0,0
2026-09-20 19:03:14Z,MIA,pre,0.0,PRE,0,8117,Jalen Tolbert,WR,4.0,0.0,4.0,4.0,4.0,4.0,0.0,1.0,4.0,,0.0,0
2026-09-20 19:03:14Z,SF,pre,0.0,PRE,0,5872,Deebo Samuel,WR,11.5,0.0,11.5,11.5,11.5,11.5,0.0,1.0,11.5,,0.0,0
2026-09-20 19:03:14Z,ARI,pre,0.0,PRE,0,13272,Carson Beck,QB,1.6,0.0,1.6,1.6,1.6,1.6,0.0,1.0,1.6,,0.0,0
2026-09-20 19:03:14Z,DAL,pre,0.0,PRE,0,DAL,Dallas Cowboys D/ST,DST,6.1,0.0,6.1,6.1,6.1,6.1,0.0,1.0,6.1,,0.0,0
2026-09-20 19:03:14Z,WAS,pre,0.0,PRE,0,11650,Luke McCaffrey,WR,1.1,0.0,1.1,1.1,1.1,1.1,0.0,1.0,1.1,,0.0,0
2026-09-20 19:03:14Z,MIA,pre,0.0,PRE,0,13296,Caleb Douglas,WR,8.7,0.0,8.7,8.7,8.7,8.7,0.0,1.0,8.7,,0.0,0
2026-09-20 19:03:14Z,DAL,pre,0.0,PRE,0,8137,George Pickens,WR,14.6,0.0,14.6,14.6,14.6,14.6,0.0,1.0,14.6,,0.0,0
2026-09-20 19:03:14Z,WAS,pre,0.0,PRE,0,8135,Treylon Burks,WR,2.6,0.0,2.6,2.6,2.6,2.6,0.0,1.0,2.6,,0.0,0
2026-09-20 19:03:14Z,MIA,pre,0.0,PRE,0,13311,Chris Bell,WR,5.6,0.0,5.6,5.6,5.6,5.6,0.0,1.0,5.6,,0.0,0
2026-09-20 19:03:14Z,WAS,pre,0.0,PRE,0,WAS,Washington Commanders D/ST,DST,4.1,0.0,4.1,4.1,4.1,4.1,0.0,1.0,4.1,,0.0,0
2026-09-20 19:03:14Z,SF,pre,0.0,PRE,0,2216,Mike Evans,WR,12.6,0.0,12.6,12.6,12.6,12.6,0.0,1.0,12.6,,0.0,0
2026-09-20 19:03:14Z,ARI,pre,0.0,PRE,0,8132,Tyler Allgeier,RB,7.8,0.0,7.8,7.8,7.8,7.8,0.0,1.0,7.8,,0.0,0
2026-09-20 19:03:14Z,WAS,pre,0.0,PRE,0,11596,Ben Sinnott,TE,3.2,0.0,3.2,3.2,3.2,3.2,0.0,1.0,3.2,,0.0,0
2026-09-20 19:03:14Z,WAS,pre,0.0,PRE,0,13968,Drew Stevens,K,7.5,0.0,7.5,7.5,7.5,7.5,0.0,1.0,7.5,,0.0,0
2026-09-20 19:03:14Z,SF,pre,0.0,PRE,0,4034,Christian McCaffrey,RB,22.2,0.0,22.2,22.2,22.2,22.2,0.0,1.0,22.2,,0.0,0
2026-09-20 19:03:14Z,SEA,pre,0.0,PRE,0,12048,George Holani,RB,7.1,0.0,7.1,7.1,7.1,7.1,0.0,1.0,7.1,,0.0,0
2026-09-20 19:03:14Z,WAS,pre,0.0,PRE,0,12641,Jaylin Lane,WR,1.6,0.0,1.6,1.6,1.6,1.6,0.0,1.0,1.6,,0.0,0
2026-09-20 19:03:14Z,ARI,pre,0.0,PRE,0,8130,Trey McBride,TE,16.1,0.0,16.1,16.1,16.1,16.1,0.0,1.0,16.1,,0.0,0
2026-09-20 19:03:14Z,SEA,pre,0.0,PRE,0,13286,Jadarian Price,RB,12.4,0.0,12.4,12.4,12.4,12.4,0.0,1.0,12.4,,0.0,0
2026-09-20 19:03:14Z,WAS,pre,0.0,PRE,0,12533,Jacory Croskey-Merritt,RB,10.7,0.0,10.7,10.7,10.7,10.7,0.0,1.0,10.7,,0.0,0
